Coins,Type,Mechanism ,Multi-Sig Hot,Multi-Sig Custody,TSS Hot,TSS Custody,Trade,Staking,OVC,WRW,Type of Coin,Blockchain,Testnet
0x · ZRX,ERC20 token,Proof of work,TRUE,TRUE,,,x,2022 H2,TRUE,TRUE,Account-based,Ethereum,x
1INCH Token · 1INCH,ERC20 token,Proof of work,TRUE,TRUE,,,x,2022 H2,TRUE,TRUE,Account-based,Ethereum,x
AAVE,ERC20 token,Proof of work,TRUE,TRUE,,,x,x,TRUE,TRUE,Account-based,Ethereum,x
Ac Exchange Token · ACXT,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Ace Token ACE,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Aelf · ELF,ERC20 token,Proof of work,x,x,,,x,x,TRUE,x,Account-based,Ethereum,x
Aergo,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Aergo · AERGO,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Aergo1 · AERGO1,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Aeternity · AE,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
AGARWOOD · AGWD,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Aion · AION,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
AirSwap · AST,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Akash,ERC20 token,Proof of work,2022 Q4,2022 Q4,,,,2024+,x,,Account-based,Ethereum,x
Alchemy Pay · ACH,ERC20 token,Proof of work,TRUE,TRUE,,,x,,TRUE,TRUE,Account-based,Ethereum,x
Algorand,Coin,Proof of Stake,TRUE,TRUE,,,H1 2022,Hot+Custody,TRUE,,Account-based,Algorand,TRUE
